INDEX_NR,INCIDENT_DATE,INCIDENT_MONTH,INCIDENT_YEAR,TIME,TIME_OF_DAY,AIRPORT_ID,AIRPORT,LATITUDE,LONGITUDE,RUNWAY,STATE,FAAREGION,LOCATION,ENROUTE_STATE,OPID,OPERATOR,REG,FLT,AIRCRAFT,AMA,AMO,EMA,EMO,AC_CLASS,AC_MASS,TYPE_ENG,NUM_ENGS,ENG_1_POS,ENG_2_POS,ENG_3_POS,ENG_4_POS,PHASE_OF_FLIGHT,HEIGHT,SPEED,DISTANCE,SKY,PRECIPITATION,AOS,COST_REPAIRS,COST_OTHER,COST_REPAIRS_INFL_ADJ,COST_OTHER_INFL_ADJ,INGESTED_OTHER,INDICATED_DAMAGE,DAMAGE_LEVEL,STR_RAD,DAM_RAD,STR_WINDSHLD,DAM_WINDSHLD,STR_NOSE,DAM_NOSE,STR_ENG1,DAM_ENG1,ING_ENG1,STR_ENG2,DAM_ENG2,ING_ENG2,STR_ENG3,DAM_ENG3,ING_ENG3,STR_ENG4,DAM_ENG4,ING_ENG4,STR_PROP,DAM_PROP,STR_WING_ROT,DAM_WING_ROT,STR_FUSE,DAM_FUSE,STR_LG,DAM_LG,STR_TAIL,DAM_TAIL,STR_LGHTS,DAM_LGHTS,STR_OTHER,DAM_OTHER,OTHER_SPECIFY,EFFECT,EFFECT_OTHER,BIRD_BAND_NUMBER,SPECIES_ID,SPECIES,REMARKS,REMAINS_COLLECTED,REMAINS_SENT,WARNED,NUM_SEEN,NUM_STRUCK,SIZE,NR_INJURIES,NR_FATALITIES,COMMENTS,REPORTED_NAME,REPORTED_TITLE,SOURCE,PERSON,LUPDATE,TRANSFER
608300,9/28/1994,9,1994,,Night,KILN,WILMINGTON AIR PARK,39.4233,-83.7885,,OH,AGL,,,ABX,ABX AIR,N812AX,,DC-8-63,583,18,34.0,1.0,A,4.0,D,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,False,False,N,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,UNKBS,Unknown bird - small,,False,False,Unknown,,1,Small,,,/Legacy Record=100059/,REDACTED,REDACTED,FAA Form 5200-7,,5/28/1998,False
608301,9/28/1994,9,1994,,Night,KDCA,RONALD REAGAN WASHINGTON NATIONAL ARPT,38.85208,-77.03772,1,DC,AEA,,,MRA,MARTINAIRE,N760NP,,BE-200 KING,123,22,31.0,4.0,A,2.0,C,2.0,4.0,4.0,,,Approach,1000.0,120.0,,No Cloud,None,,,,,,False,False,N,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,None,,,UNKBM,Unknown bird - medium,,False,False,No,1,1,Medium,,,/Legacy Record=100060/,REDACTED,REDACTED,FAA Form 5200-7,,5/22/1998,False
608303,8/30/1991,8,1991,,Night,KDTW,DETROIT METRO WAYNE COUNTY ARPT,42.21206,-83.34884,,MI,AGL,,,SWA,SOUTHWEST AIRLINES,,,B-737-500,148,33,10.0,1.0,A,4.0,D,2.0,1.0,1.0,,,Approach,1000.0,130.0,,Some Cloud,None,,,,,,False,True,M,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,NE1,Gulls,CHIPPED PAINT ON LOWER RADOME,False,False,No,,1,Medium,,,/Legacy Record=100062/,REDACTED,REDACTED,FAA Form 5200-7,Pilot,9/24/1997,False
608305,8/15/1991,8,1991,,Day,KPVD,THEODORE FRANCIS GREEN STATE,41.724,-71.42822,,RI,ANE,,,BUS,BUSINESS,N134M,,C-650,226,39,19.0,1.0,A,3.0,D,2.0,5.0,5.0,,,Approach,100.0,120.0,,Some Cloud,None,,,,,,False,False,N,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,ZT1,Blackbirds,NO DAMAGE.,False,False,Yes,,1,Small,,,OPERATOR = MOTOROLA INC /Legacy Record=100064/,REDACTED,REDACTED,FAA Form 5200-7,,9/14/2001,False
608307,11/14/1991,11,1991,,Night,KDCA,RONALD REAGAN WASHINGTON NATIONAL ARPT,38.85208,-77.03772,19,DC,AEA,,,USA,1US AIRWAYS,N334US,,B-737-300,148,24,10.0,1.0,A,4.0,D,2.0,1.0,1.0,,,Climb,5000.0,250.0,,Some Cloud,None,,,,,,False,False,N,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,None,,,NE1,Gulls,NO DAMAGE/INJURY. TIME = 0000Z.FLT 1158.,False,False,No,1,1,Medium,,,SOURCE = TWO 5200-7 REPT. /Legacy Record=100066/,REDACTED,REDACTED,FAA Form 5200-7,Tower,7/31/1998,False
608308,7/11/1990,7,1990,,Day,KSFO,SAN FRANCISCO INTL ARPT,37.619,-122.37484,,CA,AWP,,,TWA,TRANS WORLD AIRLINES,,,L-1011,561,15,37.0,37.0,A,4.0,D,3.0,5.0,6.0,5.0,,Approach,,,,No Cloud,None,,,,,,False,False,N,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,UNKBS,Unknown bird - small,"HIT A FLOCK OF SPARROW TYPE BIRDS, ASSUME 2-10. NO DAMAGE.",False,False,No,,2-10,Small,,,/Legacy Record=100067/,REDACTED,REDACTED,FAA Form 5200-7,,3/1/1999,False
608309,7/9/1990,7,1990,,Dawn,KPIH,POCATELLO REGIONAL ARPT,42.91131,-112.59586,,ID,ANM,,,QXE,HORIZON AIR,,,DHC8 DASH 8,303,10,31.0,10.0,A,3.0,C,2.0,4.0,4.0,,,Climb,500.0,,,Some Cloud,None,2.0,,,,,True,False,N,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,Precautionary Landing,,,J21,Ducks,FLT 609.   BIRD ENTERED AIR INTAKE & WENT INTO FOD ENG BYPASS.   NO DAMAGE TO ENG,False,False,Unknown,,1,Medium,,,(UPDATED 6/19/07 INGESTION) /Legacy Record=100068/,REDACTED,REDACTED,FAA Form 5200-7,Other,6/19/2007,False
608310,7/12/1990,7,1990,,Day,KSFO,SAN FRANCISCO INTL ARPT,37.619,-122.37484,,CA,AWP,,,TWA,TRANS WORLD AIRLINES,,,L-1011,561,15,37.0,37.0,A,4.0,D,3.0,5.0,6.0,5.0,,Landing Roll,0.0,,0.0,Some Cloud,None,,,,,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,YL001,European starling,UNKN IF DAMAGE. FLT 183,False,False,No,2-10,2-10,Small,,,DATE = POSTMARK /Legacy Record=100069/,REDACTED,REDACTED,FAA Form 5200-7,,3/1/1999,False
608311,7/9/1996,7,1996,,,KDEN,DENVER INTL AIRPORT,39.85841,-104.667,34,CO,ANM,,,UAL,UNITED AIRLINES,,1859,B-737-500,148,33,10.0,1.0,A,4.0,D,2.0,1.0,1.0,,,Take-off Run,0.0,110.0,0.0,,,,,,,,False,False,N,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,UNKBS,Unknown bird - small,HIT F/O WINDSHLD.,False,False,Unknown,,1,Small,,,/Legacy Record=100070/,REDACTED,REDACTED,Air Transport Report,Air Transport Operations,12/20/2007,False
608312,5/22/1992,5,1992,,Day,KLNK,LINCOLN ARPT,40.85097,-96.75925,,NE,ACE,,,UAL,UNITED AIRLINES,,,B-737-300,148,24,10.0,1.0,A,4.0,D,2.0,1.0,1.0,,,Take-off Run,0.0,130.0,0.0,Overcast,Rain,,,,,,True,True,S,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,M7,Rails,"FLT-1236, LNK-ORD HIT FLOCK OF BIRDS ON T/O ROTATION.  CONTD TO DEST.  #2 ENG HAD 4 BENT FAN BLADES. THIS STRIKE TRIGGERED THE REQUIREMENT FOR AN  ECOLOGICAL SURVEY.",False,False,Unknown,11-100,11-100,Medium,,,SOURCE = 5200-7 AND LETTER /Legacy Record=100071/,REDACTED,REDACTED,Multiple,Pilot,4/21/2005,False
